Year,Scenario,Population,hh_size_assumed,Households_needed
2023,Low,1650000.0,6.84,241052
2024,Low,1676000.0,6.81,246063
2025,Low,1703000.0,6.78,251273
2026,Low,1760750.1296750554,6.74,261094
2027,Low,1820538.0535960805,6.71,271317
2028,Low,1882438.4653066108,6.68,281960
2029,Low,1946528.8901488797,6.64,293042
2030,Low,2012889.7956738696,6.61,304580
2031,Low,2081604.706451901,6.57,316594
2032,Low,2152760.3234620737,6.54,329105
2033,Low,2226446.64824618,6.51,342135
2034,Low,2302757.1120203314,6.47,355707
2035,Low,2381788.709945461,6.44,369843
2036,Low,2463642.1407661275,6.41,384569
2037,Low,2548421.9520356534,6.37,399909
2038,Low,2636236.691154564,6.34,415892
2039,Low,2727199.0624586493,6.3,432545
2040,Low,2821426.090602656,6.27,449899
2023,Base,1650000.0,6.84,241052
2024,Base,1676000.0,6.81,246063
2025,Base,1703000.0,6.78,251273
2026,Base,1771245.3780750555,6.74,262650
2027,Base,1842261.9145314288,6.71,274555
2028,Base,1916163.6331881122,6.68,287012
2029,Base,1993069.3105935506,6.64,300048
2030,Base,2073102.67658134,6.61,313691
2031,Base,2156392.6233862867,6.57,327968
2032,Base,2243073.4236900294,6.54,342912
2033,Base,2333284.9579814915,6.51,358553
2034,Base,2427172.951634204,6.47,374925
2035,Base,2524889.222120066,6.44,392064
2036,Base,2626591.9367973646,6.41,410005
2037,Base,2732445.881729993,6.37,428787
2038,Base,2842622.742014696,6.34,448452
2039,Base,2957301.394113999,6.3,469041
2040,Base,3076668.210714165,6.27,490599
2023,High,1650000.0,6.84,241052
2024,High,1676000.0,6.81,246063
2025,High,1703000.0,6.78,251273
2026,High,1783756.0702083888,6.74,264505
2027,High,1868345.033787365,6.71,278442
2028,High,1956948.9750977634,6.68,293121
2029,High,2049758.6364594293,6.64,308582
2030,High,2146973.830208208,6.61,324868
2031,High,2248803.8703819793,6.57,342023
2032,High,2355468.0249716574,6.54,360094
2033,High,2467195.989717756,6.51,379131
2034,High,2584228.384479902,6.47,399186
2035,High,2706817.273255739,6.44,420313
2036,High,2835226.7089770124,6.41,442572
2037,High,2969733.304264496,6.37,466023
2038,High,3110626.8293797877,6.34,490732
2039,High,3258210.8386711366,6.3,516766
2040,High,3412803.3268723567,6.27,544198
