Year,Scenario,Population
2023,Low,1650000
2024,Low,1676000
2025,Low,1703000
2026,Low,1760750
2027,Low,1820538
2028,Low,1882438
2029,Low,1946529
2030,Low,2012890
2031,Low,2081605
2032,Low,2152760
2033,Low,2226447
2034,Low,2302757
2035,Low,2381789
2036,Low,2463642
2037,Low,2548422
2038,Low,2636237
2039,Low,2727199
2040,Low,2821426
2023,Base,1650000
2024,Base,1676000
2025,Base,1703000
2026,Base,1771245
2027,Base,1842262
2028,Base,1916164
2029,Base,1993069
2030,Base,2073103
2031,Base,2156393
2032,Base,2243073
2033,Base,2333285
2034,Base,2427173
2035,Base,2524889
2036,Base,2626592
2037,Base,2732446
2038,Base,2842623
2039,Base,2957301
2040,Base,3076668
2023,High,1650000
2024,High,1676000
2025,High,1703000
2026,High,1783756
2027,High,1868345
2028,High,1956949
2029,High,2049759
2030,High,2146974
2031,High,2248804
2032,High,2355468
2033,High,2467196
2034,High,2584228
2035,High,2706817
2036,High,2835227
2037,High,2969733
2038,High,3110627
2039,High,3258211
2040,High,3412803
